virus,component,filter,edit_distance,count,assay
Parainfluenza_virus_1,left_primer,all,0,438,1
Parainfluenza_virus_1,left_primer,all,1,32,1
Parainfluenza_virus_1,right_primer,all,0,409,1
Parainfluenza_virus_1,right_primer,all,1,56,1
Parainfluenza_virus_1,right_primer,all,2,5,1
Parainfluenza_virus_1,left_primer,recent_usa,0,20,1
Parainfluenza_virus_1,left_primer,recent_usa,1,3,1
Parainfluenza_virus_1,right_primer,recent_usa,0,22,1
Parainfluenza_virus_1,right_primer,recent_usa,1,1,1
Parainfluenza_virus_1,probe,all,0,466,1
Parainfluenza_virus_1,probe,all,1,4,1
Parainfluenza_virus_1,probe,recent_usa,0,23,1
Parainfluenza_virus_2,left_primer,all,0,316,1
Parainfluenza_virus_2,left_primer,all,1,28,1
Parainfluenza_virus_2,left_primer,all,2,6,1
Parainfluenza_virus_2,right_primer,all,0,271,1
Parainfluenza_virus_2,right_primer,all,1,64,1
Parainfluenza_virus_2,right_primer,all,2,14,1
Parainfluenza_virus_2,right_primer,all,3,1,1
Parainfluenza_virus_2,left_primer,recent_usa,0,8,1
Parainfluenza_virus_2,right_primer,recent_usa,0,8,1
Parainfluenza_virus_2,probe,all,0,273,1
Parainfluenza_virus_2,probe,all,1,80,1
Parainfluenza_virus_2,probe,all,2,4,1
Parainfluenza_virus_2,probe,recent_usa,0,7,1
Parainfluenza_virus_2,probe,recent_usa,1,1,1
Parainfluenza_virus_3,left_primer,all,0,1341,1
Parainfluenza_virus_3,left_primer,all,1,20,1
Parainfluenza_virus_3,right_primer,all,0,1281,1
Parainfluenza_virus_3,right_primer,all,1,69,1
Parainfluenza_virus_3,right_primer,all,2,11,1
Parainfluenza_virus_3,left_primer,recent_usa,0,26,1
Parainfluenza_virus_3,right_primer,recent_usa,0,19,1
Parainfluenza_virus_3,right_primer,recent_usa,1,6,1
Parainfluenza_virus_3,right_primer,recent_usa,2,1,1
Parainfluenza_virus_3,probe,all,0,1239,1
Parainfluenza_virus_3,probe,all,1,99,1
Parainfluenza_virus_3,probe,all,2,22,1
Parainfluenza_virus_3,probe,all,3,1,1
Parainfluenza_virus_3,probe,recent_usa,0,20,1
Parainfluenza_virus_3,probe,recent_usa,1,1,1
Parainfluenza_virus_3,probe,recent_usa,2,5,1
Parainfluenza_virus_4,left_primer,all,0,134,1
Parainfluenza_virus_4,left_primer,all,1,9,1
Parainfluenza_virus_4,left_primer,all,2,33,1
Parainfluenza_virus_4,left_primer,all,3,13,1
Parainfluenza_virus_4,right_primer,all,0,140,1
Parainfluenza_virus_4,right_primer,all,1,3,1
Parainfluenza_virus_4,right_primer,all,2,44,1
Parainfluenza_virus_4,right_primer,all,3,2,1
Parainfluenza_virus_4,left_primer,recent_usa,0,11,1
Parainfluenza_virus_4,left_primer,recent_usa,1,2,1
Parainfluenza_virus_4,left_primer,recent_usa,2,9,1
Parainfluenza_virus_4,right_primer,recent_usa,0,13,1
Parainfluenza_virus_4,right_primer,recent_usa,2,9,1
Parainfluenza_virus_4,probe,all,0,134,1
Parainfluenza_virus_4,probe,all,1,10,1
Parainfluenza_virus_4,probe,all,2,42,1
Parainfluenza_virus_4,probe,all,3,5,1
Parainfluenza_virus_4,probe,recent_usa,0,13,1
Parainfluenza_virus_4,probe,recent_usa,2,7,1
Parainfluenza_virus_4,probe,recent_usa,3,2,1
Parainfluenza_virus_4,left_primer,all,0,43,2
Parainfluenza_virus_4,left_primer,all,1,8,2
Parainfluenza_virus_4,left_primer,all,2,135,2
Parainfluenza_virus_4,left_primer,all,3,5,2
Parainfluenza_virus_4,right_primer,all,0,46,2
Parainfluenza_virus_4,right_primer,all,1,2,2
Parainfluenza_virus_4,right_primer,all,2,140,2
Parainfluenza_virus_4,right_primer,all,3,3,2
